question_id,subject,concept,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option
TSD053,Aptitude,Time Speed Distance,Hard,"A train crosses a bridge in 30 seconds at speed 72 km/h. If bridge is 300 m long, find length of train.",48,69,54,80,C
TSD054,Aptitude,Time Speed Distance,Hard,A car and a bike start at same point. Car is faster by 10 km/h. Find time to gain 50 km lead.,86,67,59,53,C
TSD055,Aptitude,Time Speed Distance,Hard,A man rows upstream at 5 km/h and downstream at 9 km/h. Find speed of stream.,75,66,78,98,A
PL001,Aptitude,Profit & Loss,Easy,A man buys an article for ₹200 and sells it for ₹240. Find the profit.,79,59,87,66,D
PL002,Aptitude,Profit & Loss,Easy,"If cost price is ₹500 and selling price is ₹550, find the profit percent.",149,112,121,129,C
PL003,Aptitude,Profit & Loss,Easy,"An article is sold at a loss of ₹50. If cost price is ₹450, find selling price.",127,117,99,109,D
PL004,Aptitude,Profit & Loss,Easy,A shopkeeper gains ₹40 on selling an article for ₹240. Find the cost price.,142,144,146,172,B
PL005,Aptitude,Profit & Loss,Easy,"If selling price is ₹300 and profit is ₹60, find cost price.",122,92,98,110,C
PL006,Aptitude,Profit & Loss,Easy,An article is bought for ₹800 and sold for ₹720. Find loss.,120,111,140,109,B
PL007,Aptitude,Profit & Loss,Easy,"If cost price is ₹1000 and loss percent is 10%, find selling price.",131,140,146,170,B
PL008,Aptitude,Profit & Loss,Easy,A man sells an article at ₹450 gaining 12.5%. Find cost price.,143,127,157,136,D
PL009,Aptitude,Profit & Loss,Easy,"If selling price is ₹660 and cost price is ₹600, find profit percent.",75,73,97,87,A
PL010,Aptitude,Profit & Loss,Easy,An article bought for ₹250 is sold for ₹225. Find loss percent.,101,93,129,114,A
PL011,Aptitude,Profit & Loss,Easy,A shopkeeper gains ₹20 on selling an article at ₹220. Find cost price.,125,116,108,102,C
PL012,Aptitude,Profit & Loss,Easy,"If cost price is ₹400 and selling price is ₹500, find profit.",110,103,130,102,B
PL013,Aptitude,Profit & Loss,Easy,"An article is sold at a loss of 20%. If cost price is ₹600, find selling price.",101,107,124,111,B
PL014,Aptitude,Profit & Loss,Easy,"If selling price is ₹900 and profit percent is 20%, find cost price.",102,123,113,106,D
PL015,Aptitude,Profit & Loss,Easy,A man buys an article for ₹150 and sells it for ₹180. Find profit percent.,143,167,133,151,A
PL016,Aptitude,Profit & Loss,Easy,"If cost price is ₹700 and selling price is ₹630, find loss percent.",143,142,168,147,A
PL017,Aptitude,Profit & Loss,Easy,An article is sold for ₹540 at a profit of 8%. Find cost price.,136,149,161,144,D
PL018,Aptitude,Profit & Loss,Easy,"If cost price is ₹1200 and profit is ₹300, find selling price.",19,33,28,52,C
PL019,Aptitude,Profit & Loss,Easy,A trader incurs a loss of ₹90 on selling an article for ₹810. Find cost price.,132,142,154,122,A
PL020,Aptitude,Profit & Loss,Easy,"If selling price is ₹480 and loss percent is 20%, find cost price.",125,144,137,127,D
PL021,Aptitude,Profit & Loss,Medium,"A shopkeeper sells two articles at ₹500 each, gaining 20% on one and losing 20% on the other. Find net gain or loss.",102,91,73,82,D
PL022,Aptitude,Profit & Loss,Medium,"If an article is sold at 10% loss instead of 10% gain, the selling price decreases by ₹40. Find cost price.",106,88,79,85,D
PL023,Aptitude,Profit & Loss,Medium,"A man sells an article at 25% profit. If he had bought it at 20% less, his profit would be ₹90 more. Find cost price.",142,122,126,117,B
PL024,Aptitude,Profit & Loss,Medium,A trader marks his goods 25% above cost price and allows 10% discount. Find profit percent.,89,112,91,103,C
PL025,Aptitude,Profit & Loss,Medium,"If cost price of 10 articles is equal to selling price of 8 articles, find profit percent.",87,117,105,94,D
PL026,Aptitude,Profit & Loss,Medium,"A shopkeeper sells an article at 15% loss. If he had sold it for ₹90 more, he would have gained 15%. Find cost price.",56,48,68,77,A
PL027,Aptitude,Profit & Loss,Medium,"A trader sells an article at a profit of 20%. If cost price had been ₹50 more, profit would be 10%. Find selling price.",133,156,142,137,D
PL028,Aptitude,Profit & Loss,Medium,"An article is sold at 20% profit. If the selling price is increased by ₹100, profit becomes 30%. Find cost price.",67,87,60,57,C
PL029,Aptitude,Profit & Loss,Medium,A trader gains 10% by selling an article for ₹550. Find cost price.,115,130,119,138,C
PL030,Aptitude,Profit & Loss,Medium,"If selling price of an article is ₹720 after allowing 10% discount on marked price ₹800, find profit percent if cost price is ₹600.",43,29,21,49,B
PL031,Aptitude,Profit & Loss,Medium,A man sells two articles at same price. One gives 20% profit and other 20% loss. Find net result.,66,42,35,51,B
PL032,Aptitude,Profit & Loss,Medium,A shopkeeper gains 25% after allowing 10% discount. Find marked price if cost price is ₹400.,145,127,162,134,D
PL033,Aptitude,Profit & Loss,Medium,An article is sold for ₹630 at a loss of 10%. Find cost price.,67,35,51,37,D
PL034,Aptitude,Profit & Loss,Medium,A trader allows 20% discount on marked price and still gains 20%. Find marked price if cost price is ₹500.,168,138,132,153,B
PL035,Aptitude,Profit & Loss,Medium,"If cost price increases by 25%, by what percent should selling price be increased to maintain same profit?",105,139,114,129,C
PL036,Aptitude,Profit & Loss,Medium,"A man sells an article at 12% profit. If cost price was ₹75 less, profit would be 20%. Find selling price.",39,69,43,56,C
PL037,Aptitude,Profit & Loss,Medium,A shopkeeper buys 20 articles for ₹400 and sells 18 articles for ₹450. Find profit percent.,79,104,85,96,C
PL038,Aptitude,Profit & Loss,Medium,"An article is sold at a profit of 16⅔%. If cost price is ₹300, find selling price.",32,67,40,37,D
PL039,Aptitude,Profit & Loss,Medium,A trader marks goods 40% above cost and gives 20% discount. Find profit percent.,141,134,123,121,C
PL040,Aptitude,Profit & Loss,Medium,"If selling price is ₹900 after 10% discount on marked price ₹1000, find profit percent if cost price is ₹750.",35,57,45,29,A
PL041,Aptitude,Profit & Loss,Hard,A dishonest shopkeeper uses 900 g weight for 1 kg and gives 10% discount. Find profit percent.,45,49,64,78,B
PL042,Aptitude,Profit & Loss,Hard,A trader mixes two varieties of rice costing ₹30/kg and ₹45/kg in ratio 2:3 and sells mixture at ₹42/kg. Find profit percent.,164,128,136,148,C
PL043,Aptitude,Profit & Loss,Hard,A shopkeeper marks goods 50% above cost and allows successive discounts of 10% and 20%. Find profit or loss percent.,41,49,39,68,A
PL044,Aptitude,Profit & Loss,Hard,"If an article is sold at x% gain instead of y% gain, the selling price increases by ₹120. Find cost price.",102,63,87,73,D
PL045,Aptitude,Profit & Loss,Hard,A man buys oranges at 4 for ₹20 and sells them at 5 for ₹30. Find gain or loss percent.,163,137,157,145,D
PL046,Aptitude,Profit & Loss,Hard,"A trader sells an article at 15% profit. If he had sold it at 15% loss, the selling price would be ₹120 less. Find cost price.",127,147,139,119,A
PL047,Aptitude,Profit & Loss,Hard,A shopkeeper cheats by using false weights and selling at marked price. Find overall gain percent.,113,126,130,111,A
PL048,Aptitude,Profit & Loss,Hard,"A trader gains 20% by selling at ₹600. If cost price was ₹50 more, profit would be 10%. Find cost price.",64,36,32,40,B
PL049,Aptitude,Profit & Loss,Hard,"An article is sold at 25% loss. To gain 25%, by what percent should selling price be increased?",62,68,96,79,B
PL050,Aptitude,Profit & Loss,Hard,A dishonest dealer uses 800 g weight instead of 1 kg. Find gain percent.,46,60,56,77,C
PL051,Aptitude,Profit & Loss,Hard,"A trader sells an article at 10% profit. If he had sold it at 20% profit, selling price would be ₹50 more. Find cost price.",77,105,89,72,A
PL052,Aptitude,Profit & Loss,Hard,A shopkeeper gives successive discounts of 15% and 10% on marked price. Find equivalent discount percent.,72,57,42,39,C
PL053,Aptitude,Profit & Loss,Hard,A trader mixes two items in ratio 3:5 costing ₹40/kg and ₹60/kg and sells at ₹55/kg. Find profit percent.,108,125,102,95,C
PL054,Aptitude,Profit & Loss,Hard,"An article is sold at loss of 20%. If cost price is increased by 25%, find new profit or loss percent.",75,55,59,66,C
PL055,Aptitude,Profit & Loss,Hard,A trader allows discount of 25% and still gains 20%. Find marked price if cost price is ₹800.,46,58,67,45,A
CI001,Aptitude,Simple & Compound Interest,Easy,Find the simple interest on ₹1000 at 10% per annum for 2 years.,128,156,137,125,A
CI002,Aptitude,Simple & Compound Interest,Easy,What is the simple interest on ₹500 at 8% per annum for 3 years?,20,23,53,28,B
CI003,Aptitude,Simple & Compound Interest,Easy,Find the amount on ₹2000 at 5% simple interest for 4 years.,128,146,141,127,A
CI004,Aptitude,Simple & Compound Interest,Easy,"If the simple interest on a sum for 2 years at 10% is ₹200, find the principal.",117,133,125,148,C
CI005,Aptitude,Simple & Compound Interest,Easy,Find the simple interest on ₹1500 at 12% per annum for 1 year.,118,97,112,101,D
CI006,Aptitude,Simple & Compound Interest,Easy,What will be the amount on ₹800 at 10% per annum simple interest for 5 years?,95,91,118,104,A
CI007,Aptitude,Simple & Compound Interest,Easy,"If principal is ₹600 and rate is 5%, find simple interest for 4 years.",140,106,110,122,C
CI008,Aptitude,Simple & Compound Interest,Easy,Find the simple interest on ₹3000 at 7% per annum for 2 years.,66,94,74,89,C
CI009,Aptitude,Simple & Compound Interest,Easy,What is the simple interest on ₹2500 at 6% per annum for 3 years?,77,41,61,50,D
CI010,Aptitude,Simple & Compound Interest,Easy,Find the amount on ₹1000 at 10% per annum simple interest for 3 years.,54,80,53,68,A
CI011,Aptitude,Simple & Compound Interest,Easy,"If simple interest is ₹360 on a sum at 12% for 3 years, find the principal.",79,84,89,100,B
CI012,Aptitude,Simple & Compound Interest,Easy,Find the simple interest on ₹2000 at 9% per annum for 2 years.,158,133,123,145,B
CI013,Aptitude,Simple & Compound Interest,Easy,What will be the amount on ₹500 at 10% per annum simple interest for 2 years?,131,117,110,101,C
CI014,Aptitude,Simple & Compound Interest,Easy,Find the simple interest on ₹1200 at 8% per annum for 5 years.,74,82,79,105,C
CI015,Aptitude,Simple & Compound Interest,Easy,"If the rate of interest is 6% per annum, find simple interest on ₹1500 for 2 years.",151,127,124,141,B
CI016,Aptitude,Simple & Compound Interest,Easy,Find the simple interest on ₹4000 at 5% per annum for 1 year.,16,20,47,34,B
CI017,Aptitude,Simple & Compound Interest,Easy,What is the amount on ₹2000 at 10% per annum simple interest for 4 years?,78,83,90,105,B
CI018,Aptitude,Simple & Compound Interest,Easy,"If principal is ₹800 and rate is 7%, find simple interest for 3 years.",127,137,133,153,C
CI019,Aptitude,Simple & Compound Interest,Easy,Find the simple interest on ₹1000 at 12% per annum for 1 year.,145,167,137,155,A
CI020,Aptitude,Simple & Compound Interest,Easy,What will be the amount on ₹600 at 5% per annum simple interest for 6 years?,90,111,98,116,C
CI021,Aptitude,Simple & Compound Interest,Medium,Find the compound interest on ₹2000 at 10% per annum for 2 years.,134,107,104,111,B
CI022,Aptitude,Simple & Compound Interest,Medium,What is the amount on ₹1500 at 8% compound interest for 3 years?,93,122,89,95,A
CI023,Aptitude,Simple & Compound Interest,Medium,Find the compound interest on ₹1000 at 5% per annum for 2 years.,52,34,22,32,D
CI024,Aptitude,Simple & Compound Interest,Medium,"If the compound interest on a sum for 2 years at 10% is ₹210, find the principal.",104,85,116,92,D
CI025,Aptitude,Simple & Compound Interest,Medium,Find the amount on ₹3000 at 10% compound interest for 2 years.,112,146,126,119,D
CI026,Aptitude,Simple & Compound Interest,Medium,What is the difference between simple interest and compound interest on ₹1000 at 10% for 2 years?,109,130,118,112,D
CI027,Aptitude,Simple & Compound Interest,Medium,Find the compound interest on ₹2500 at 6% per annum for 3 years.,156,142,139,136,C
CI028,Aptitude,Simple & Compound Interest,Medium,"If amount after 2 years at 10% compound interest is ₹1210, find the principal.",41,20,34,10,B
CI029,Aptitude,Simple & Compound Interest,Medium,Find the compound interest on ₹5000 at 8% per annum for 2 years.,135,140,134,159,A
CI030,Aptitude,Simple & Compound Interest,Medium,What will be the amount on ₹2000 at 5% compound interest for 3 years?,74,80,93,97,B
CI031,Aptitude,Simple & Compound Interest,Medium,Find the compound interest on ₹1200 at 10% per annum for 2 years.,149,144,170,136,B
CI032,Aptitude,Simple & Compound Interest,Medium,"If compound interest on a sum for 1 year at 10% is ₹100, find the principal.",39,40,42,59,B
CI033,Aptitude,Simple & Compound Interest,Medium,Find the amount on ₹4000 at 5% compound interest for 2 years.,21,38,31,48,C
CI034,Aptitude,Simple & Compound Interest,Medium,What is the compound interest on ₹3000 at 12% per annum for 2 years?,103,95,111,130,A
CI035,Aptitude,Simple & Compound Interest,Medium,Find the difference between CI and SI on ₹2000 at 10% for 2 years.,162,180,150,146,C
CI036,Aptitude,Simple & Compound Interest,Medium,"If the amount on ₹5000 after 2 years at 10% compound interest is known, find the principal.",25,26,56,31,B
CI037,Aptitude,Simple & Compound Interest,Medium,Find the compound interest on ₹1500 at 4% per annum for 3 years.,132,153,138,162,C
CI038,Aptitude,Simple & Compound Interest,Medium,What will be the amount on ₹1000 at 10% compound interest for 2 years?,125,148,127,134,C
CI039,Aptitude,Simple & Compound Interest,Medium,Find the compound interest on ₹8000 at 6% per annum for 2 years.,122,141,138,124,D
CI040,Aptitude,Simple & Compound Interest,Medium,"If amount is ₹1331 after 3 years at 10% compound interest, find the principal.",44,61,60,45,D
CI041,Aptitude,Simple & Compound Interest,Hard,Find the compound interest on ₹5000 at 10% per annum compounded annually for 3 years.,91,98,93,116,C
CI042,Aptitude,Simple & Compound Interest,Hard,What is the difference between compound interest and simple interest on ₹4000 at 10% for 3 years?,56,27,23,33,B
CI043,Aptitude,Simple & Compound Interest,Hard,"If the compound interest on a sum for 2 years at 20% is ₹840, find the principal.",25,54,18,34,A
CI044,Aptitude,Simple & Compound Interest,Hard,Find the time in which ₹8000 doubles at 10% compound interest per annum.,52,48,44,74,B
CI045,Aptitude,Simple & Compound Interest,Hard,"If ₹5000 amounts to ₹7200 in 3 years at compound interest, find the rate of interest.",124,114,116,143,C
CI046,Aptitude,Simple & Compound Interest,Hard,"Find the compound interest on ₹10000 at 10% per annum for 2 years, compounded half-yearly.",77,87,62,71,D
CI047,Aptitude,Simple & Compound Interest,Hard,What is the present worth of ₹1331 due after 3 years at 10% compound interest?,140,150,133,167,A
CI048,Aptitude,Simple & Compound Interest,Hard,Find the rate of interest if ₹4000 becomes ₹5324 in 3 years at compound interest.,95,83,88,110,C
CI049,Aptitude,Simple & Compound Interest,Hard,Find the compound interest on ₹8000 at 5% per annum for 3 years.,92,90,108,104,A
CI050,Aptitude,Simple & Compound Interest,Hard,"If the compound interest on a sum for 2 years is ₹410 at 10%, find the principal.",100,69,84,79,D
CI051,Aptitude,Simple & Compound Interest,Hard,Find the compound interest on ₹2500 at 8% per annum for 3 years.,66,54,47,41,C
CI052,Aptitude,Simple & Compound Interest,Hard,What sum amounts to ₹9261 in 3 years at 7% compound interest?,95,65,79,66,D
CI053,Aptitude,Simple & Compound Interest,Hard,Find the difference between CI and SI on ₹5000 at 10% for 3 years.,80,49,58,64,C
CI054,Aptitude,Simple & Compound Interest,Hard,Find the compound interest on ₹6000 at 12% per annum for 2 years.,51,48,63,79,A
CI055,Aptitude,Simple & Compound Interest,Hard,"If the amount after 2 years at compound interest is ₹4840 at 10%, find the principal.",32,53,27,37,A
MIX001,Aptitude,Mixtures & Alligation,Easy,In what ratio should water be mixed with milk costing ₹40 per litre to get a mixture worth ₹30 per litre?,161,147,149,179,C
MIX002,Aptitude,Mixtures & Alligation,Easy,A mixture contains milk and water in the ratio 3:1. What fraction of the mixture is water?,120,90,100,94,D
MIX003,Aptitude,Mixtures & Alligation,Easy,In what ratio must rice at ₹20/kg be mixed with rice at ₹30/kg so that the mixture costs ₹25/kg?,50,37,36,54,B
MIX004,Aptitude,Mixtures & Alligation,Easy,A mixture of tea and sugar contains them in the ratio 4:1. Find the percentage of sugar in the mixture.,77,102,85,76,A
MIX005,Aptitude,Mixtures & Alligation,Easy,How many litres of water should be added to 10 litres of milk to make the ratio 2:1?,108,137,116,105,A
MIX006,Aptitude,Mixtures & Alligation,Easy,In what ratio should wheat costing ₹10/kg be mixed with wheat costing ₹20/kg to get a mixture worth ₹15/kg?,107,127,108,115,C
MIX007,Aptitude,Mixtures & Alligation,Easy,A mixture of alcohol and water contains 20% alcohol. Find the ratio of alcohol to water.,99,110,89,84,C
MIX008,Aptitude,Mixtures & Alligation,Easy,"A jar contains milk and water in the ratio 5:2. If the total mixture is 14 litres, find quantity of water.",88,101,79,71,C
MIX009,Aptitude,Mixtures & Alligation,Easy,In what ratio must sugar costing ₹40/kg be mixed with sugar costing ₹60/kg to get mixture worth ₹50/kg?,37,61,64,46,D
MIX010,Aptitude,Mixtures & Alligation,Easy,A mixture contains 60% water. What is the ratio of water to milk?,128,93,108,99,D
MIX011,Aptitude,Mixtures & Alligation,Easy,In what ratio should pulses at ₹50/kg be mixed with pulses at ₹70/kg to get mixture worth ₹60/kg?,135,148,125,128,D
MIX012,Aptitude,Mixtures & Alligation,Easy,A mixture of salt and sand contains them in the ratio 1:4. What fraction is salt?,80,72,94,107,A
MIX013,Aptitude,Mixtures & Alligation,Easy,How many litres of water should be mixed with 8 litres of alcohol to make the mixture 25% alcohol?,101,88,80,117,B
MIX014,Aptitude,Mixtures & Alligation,Easy,In what ratio should oil costing ₹100/litre be mixed with oil costing ₹120/litre to get mixture worth ₹110/litre?,55,72,79,61,D
MIX015,Aptitude,Mixtures & Alligation,Easy,A mixture contains alcohol and water in the ratio 1:3. Find percentage of alcohol.,48,39,75,62,A
MIX016,Aptitude,Mixtures & Alligation,Easy,In what ratio must tea at ₹200/kg be mixed with tea at ₹300/kg to get mixture worth ₹250/kg?,116,97,90,112,B
MIX017,Aptitude,Mixtures & Alligation,Easy,A mixture contains 80% milk. Find ratio of milk to water.,74,83,102,76,D
MIX018,Aptitude,Mixtures & Alligation,Easy,How many litres of water should be added to 12 litres of juice to make it 75% juice?,152,130,126,128,D
MIX019,Aptitude,Mixtures & Alligation,Easy,In what ratio should rice at ₹24/kg be mixed with rice at ₹36/kg to get mixture worth ₹30/kg?,72,46,66,51,D
MIX020,Aptitude,Mixtures & Alligation,Easy,A mixture contains water and wine in ratio 2:3. Find fraction of wine.,145,152,137,162,A
MIX021,Aptitude,Mixtures & Alligation,Medium,A vessel contains 40 litres of milk. 8 litres are replaced by water. Find the ratio of milk to water.,111,81,84,78,B
MIX022,Aptitude,Mixtures & Alligation,Medium,"In a mixture of 50 litres, milk and water are in ratio 7:3. How much milk must be added to make ratio 4:1?",96,120,101,112,C
MIX023,Aptitude,Mixtures & Alligation,Medium,"A mixture of tea contains tea and sugar in ratio 5:2. If 14 kg of sugar is added, find new ratio.",157,135,124,129,D
MIX024,Aptitude,Mixtures & Alligation,Medium,"A vessel contains milk and water in ratio 3:1. If 10 litres are drawn and replaced with water, find new ratio.",30,40,33,51,C
MIX025,Aptitude,Mixtures & Alligation,Medium,In what ratio should two varieties of rice costing ₹20/kg and ₹32/kg be mixed to get mixture worth ₹26/kg?,135,152,140,127,A
MIX026,Aptitude,Mixtures & Alligation,Medium,A mixture contains alcohol and water in ratio 2:5. How much water should be added to make ratio 1:4 if total is 21 litres?,154,141,136,128,C
MIX027,Aptitude,Mixtures & Alligation,Medium,A jar contains 60 litres of milk. 12 litres are replaced by water. Find percentage of water.,96,125,92,110,A
MIX028,Aptitude,Mixtures & Alligation,Medium,"In a mixture of 36 litres, milk and water are in ratio 5:1. How much water must be added to make ratio 2:1?",97,115,96,112,A
MIX029,Aptitude,Mixtures & Alligation,Medium,A mixture contains tea and sugar in ratio 7:3. How much sugar must be added to make ratio 7:5?,38,35,25,54,B
MIX030,Aptitude,Mixtures & Alligation,Medium,A vessel contains 80 litres of mixture. Milk and water are in ratio 3:5. How much milk must be added to make ratio 1:1?,70,62,93,82,A
MIX031,Aptitude,Mixtures & Alligation,Medium,In what ratio should sugar at ₹30/kg be mixed with sugar at ₹45/kg to get mixture worth ₹40/kg?,82,55,57,62,C
MIX032,Aptitude,Mixtures & Alligation,Medium,A mixture of alcohol and water contains 25% alcohol. How much water should be added to 20 litres to make alcohol 20%?,106,109,113,136,B
MIX033,Aptitude,Mixtures & Alligation,Medium,A jar contains 50 litres of milk. Some milk is replaced by water making water 30%. Find quantity replaced.,26,45,49,30,D
MIX034,Aptitude,Mixtures & Alligation,Medium,In what ratio should two varieties of wheat costing ₹18/kg and ₹24/kg be mixed to get mixture worth ₹21/kg?,99,75,80,77,D
MIX035,Aptitude,Mixtures & Alligation,Medium,A mixture contains wine and water in ratio 4:1. How much water must be added to make ratio 2:1 if total is 25 litres?,171,146,142,151,B
MIX036,Aptitude,Mixtures & Alligation,Medium,A vessel contains 100 litres of mixture of milk and water in ratio 1:4. How much milk should be added to make ratio 2:3?,81,88,85,101,C
MIX037,Aptitude,Mixtures & Alligation,Medium,"In a mixture of tea and sugar, sugar is 20%. How much sugar should be added to 10 kg to make sugar 25%?",170,150,159,140,B
MIX038,Aptitude,Mixtures & Alligation,Medium,A mixture of 48 litres contains milk and water in ratio 5:3. How much water should be added to make ratio 5:4?,51,77,67,58,D
MIX039,Aptitude,Mixtures & Alligation,Medium,In what ratio should oil at ₹60/litre be mixed with oil at ₹90/litre to get mixture worth ₹75/litre?,63,40,31,42,B
MIX040,Aptitude,Mixtures & Alligation,Medium,A mixture contains 40% alcohol. How much water should be added to 30 litres to make alcohol 30%?,41,37,59,30,B
MIX041,Aptitude,Mixtures & Alligation,Hard,A vessel contains 100 litres of milk. 20 litres are replaced by water repeatedly twice. Find final quantity of milk.,46,50,69,63,B
MIX042,Aptitude,Mixtures & Alligation,Hard,A mixture of alcohol and water contains 30% alcohol. How much water must be added to 40 litres to make alcohol 20%?,65,92,84,73,D
MIX043,Aptitude,Mixtures & Alligation,Hard,A vessel contains 60 litres of milk. 15 litres are taken out and replaced by water repeatedly thrice. Find final ratio.,154,122,124,129,C
MIX044,Aptitude,Mixtures & Alligation,Hard,"In a mixture of 90 litres, milk and water are in ratio 2:1. How much milk must be added to make ratio 5:2?",114,146,134,122,D
MIX045,Aptitude,Mixtures & Alligation,Hard,A jar contains 72 litres of milk. Some milk is replaced by water so that water becomes 25%. Find amount replaced.,95,124,108,92,A
MIX046,Aptitude,Mixtures & Alligation,Hard,A mixture of tea contains tea and sugar in ratio 8:3. How much sugar must be added to make ratio 8:5 if total is 55 kg?,72,100,67,84,A
MIX047,Aptitude,Mixtures & Alligation,Hard,A vessel contains alcohol and water in ratio 5:3. How much water should be added to make alcohol 50% if total is 64 litres?,28,30,39,54,B
MIX048,Aptitude,Mixtures & Alligation,Hard,"In a vessel of 80 litres, milk and water are in ratio 3:2. How much water must be removed to make ratio 5:3?",52,61,56,82,C
MIX049,Aptitude,Mixtures & Alligation,Hard,"A mixture of two liquids in ratio 4:5 costs ₹81/litre. If cost of cheaper liquid is ₹72/litre, find cost of dearer liquid.",128,123,122,139,B
MIX050,Aptitude,Mixtures & Alligation,Hard,A jar contains mixture of milk and water in ratio 7:1. How much water should be added to make ratio 3:1 if total is 64 litres?,50,56,80,40,A
MIX051,Aptitude,Mixtures & Alligation,Hard,A mixture of alcohol and water costs ₹40/litre. Alcohol costs ₹60/litre. Find ratio of alcohol to water.,47,58,63,37,A
MIX052,Aptitude,Mixtures & Alligation,Hard,A vessel contains 50 litres of milk. 10 litres are removed and replaced with water repeatedly twice. Find percentage of milk left.,33,59,56,41,D
MIX053,Aptitude,Mixtures & Alligation,Hard,"A mixture of two liquids costs ₹84/litre mixed in ratio 2:5. If cost of dearer liquid is ₹90/litre, find cost of cheaper liquid.",25,45,26,39,C
MIX054,Aptitude,Mixtures & Alligation,Hard,A vessel contains 90 litres of mixture of milk and water in ratio 4:5. How much milk should be added to make ratio 1:1?,101,80,76,70,C
MIX055,Aptitude,Mixtures & Alligation,Hard,A jar contains mixture of alcohol and water in ratio 9:1. How much water must be added to make ratio 3:1 if total is 50 litres?,55,73,46,51,D
NUM001,Aptitude,Number System,Easy,Find the sum of first 10 natural numbers.,63,87,57,67,A
NUM002,Aptitude,Number System,Easy,Find the greatest two-digit number.,67,94,65,79,A
NUM003,Aptitude,Number System,Easy,Find the smallest three-digit number.,104,80,72,82,B
NUM004,Aptitude,Number System,Easy,What is the value of 7 × 8?,88,72,69,66,C
NUM005,Aptitude,Number System,Easy,Find the sum of digits of 345.,101,126,124,110,D
NUM006,Aptitude,Number System,Easy,Is 37 a prime number?,105,102,125,94,B
NUM007,Aptitude,Number System,Easy,Find the LCM of 2 and 4.,93,74,58,67,D
NUM008,Aptitude,Number System,Easy,Find the HCF of 12 and 18.,127,103,93,112,B
NUM009,Aptitude,Number System,Easy,Find the successor of 99.,139,121,128,114,B
NUM010,Aptitude,Number System,Easy,Find the predecessor of 100.,51,36,54,28,B
NUM011,Aptitude,Number System,Easy,What is the remainder when 25 is divided by 4?,56,82,52,45,C
NUM012,Aptitude,Number System,Easy,Find the square of 12.,154,142,144,171,C
NUM013,Aptitude,Number System,Easy,Find the cube of 5.,92,58,62,75,C
NUM014,Aptitude,Number System,Easy,How many digits are there in the number 7890?,147,128,121,137,B
NUM015,Aptitude,Number System,Easy,Find the smallest even number.,112,97,128,107,D
NUM016,Aptitude,Number System,Easy,What is the value of 15 ÷ 3?,83,67,70,91,C
NUM017,Aptitude,Number System,Easy,Find the sum of first 5 even numbers.,93,127,98,113,C
NUM018,Aptitude,Number System,Easy,Is 21 divisible by 3?,51,81,61,76,C
NUM019,Aptitude,Number System,Easy,Find the place value of 6 in 468.,77,49,47,52,B
NUM020,Aptitude,Number System,Easy,Find the face value of 9 in 945.,131,92,111,102,D
NUM021,Aptitude,Number System,Medium,"Find the LCM of 12, 15 and 20.",60,81,89,67,D
NUM022,Aptitude,Number System,Medium,Find the HCF of 24 and 36.,55,35,45,62,C
NUM023,Aptitude,Number System,Medium,How many prime numbers are there between 1 and 50?,20,29,13,43,A
NUM024,Aptitude,Number System,Medium,"Find the least number which when divided by 6, 8 and 12 leaves remainder 1.",18,25,52,28,B
NUM025,Aptitude,Number System,Medium,Find the greatest number which divides 45 and 60 leaving remainder 3.,90,84,97,110,A
NUM026,Aptitude,Number System,Medium,Find the sum of first 20 natural numbers.,40,47,45,72,C
NUM027,Aptitude,Number System,Medium,Find the number of zeros at the end of 100!,137,110,111,119,C
NUM028,Aptitude,Number System,Medium,"If a number is divisible by 9, what can be said about the sum of its digits?",105,123,111,127,C
NUM029,Aptitude,Number System,Medium,"Find the smallest number divisible by 5, 6 and 8.",45,22,28,32,C
NUM030,Aptitude,Number System,Medium,How many digits are there in 2^10?,104,130,119,103,A
NUM031,Aptitude,Number System,Medium,Find the remainder when 7^3 is divided by 6.,99,113,86,94,D
NUM032,Aptitude,Number System,Medium,Find the HCF of 72 and 120.,142,139,157,131,B
NUM033,Aptitude,Number System,Medium,Find the LCM of 18 and 24.,160,140,138,137,C
NUM034,Aptitude,Number System,Medium,How many composite numbers are there between 1 and 30?,145,129,153,131,D
NUM035,Aptitude,Number System,Medium,Find the unit digit of 7^45.,76,89,106,81,D
NUM036,Aptitude,Number System,Medium,Find the smallest number which when divided by 7 leaves remainder 5.,105,110,132,122,B
NUM037,Aptitude,Number System,Medium,Find the sum of digits of 2^8.,78,85,63,68,D
NUM038,Aptitude,Number System,Medium,Find the greatest number which divides 84 and 126 exactly.,71,63,52,55,D
NUM039,Aptitude,Number System,Medium,"If a number is divisible by 11, what can be said about the difference of sum of its digits?",84,55,76,63,D
NUM040,Aptitude,Number System,Medium,Find the remainder when 1234 is divided by 9.,115,80,88,95,C
NUM041,Aptitude,Number System,Hard,Find the number of trailing zeros in 125!,47,58,48,75,C
NUM042,Aptitude,Number System,Hard,Find the largest 4-digit number exactly divisible by 88.,109,84,93,96,C
NUM043,Aptitude,Number System,Hard,How many numbers between 1 and 100 are divisible by both 3 and 4?,68,81,51,55,D
NUM044,Aptitude,Number System,Hard,"Find the least number which when divided by 15, 20 and 25 leaves remainder 7.",41,40,56,58,A
